O2Mix_ID,Protocol_ID,Lot_ID,DateTime,FlowRate_sccm,Pressure_psi,O2_Purity_%,Temperature_C,Valve_Status,Status,Operator_ID,Machine_ID,Remarks
O2M00017,PRT002,LOT100,8/25/25 9:20,127,36.6,99.7,23.2,Open,Success,OP103,GMC03,Flow error
O2M00018,PRT003,LOT102,8/25/25 9:25,141,34.6,99.9,23.3,Closed,Success,OP103,GMC01,Check supply
O2M00019,PRT002,LOT100,8/25/25 9:30,142,35.6,99.3,26.6,Open,Success,OP102,GMC01,Flow error
O2M00020,PRT001,LOT102,8/25/25 9:35,139,35.1,98.4,26.1,Closed,Success,OP101,GMC01,Flow error
O2M00021,PRT001,LOT100,8/25/25 9:40,118,36.1,98.5,24.2,Open,Success,OP102,GMC02,Stable
O2M00022,PRT001,LOT100,8/25/25 9:45,148,34.9,99.4,24.8,Closed,Success,OP101,GMC03,Check supply
O2M00023,PRT001,LOT101,8/25/25 9:50,107,36.8,99.9,25,Closed,Success,OP101,GMC03,Check supply
O2M00024,PRT003,LOT100,8/25/25 9:55,137,34.9,98.7,24.6,Open,Success,OP101,GMC01,Flow error
O2M00025,PRT001,LOT101,8/25/25 10:00,142,34.2,99.3,25.6,Closed,Success,OP101,GMC01,Leak detected
O2M00026,PRT002,LOT102,8/25/25 10:05,107,35.5,99.7,23.9,Closed,Success,OP101,GMC03,Leak detected
O2M00027,PRT003,LOT101,8/25/25 10:10,131,35.6,98,25.6,Open,Fail,OP101,GMC02,Stable
O2M00028,PRT002,LOT100,8/25/25 10:15,120,35.5,99,26.3,Closed,Success,OP102,GMC02,Leak detected
O2M00029,PRT003,LOT102,8/25/25 10:20,122,36.3,98.9,26.7,Open,Success,OP102,GMC02,Leak detected
O2M00030,PRT003,LOT101,8/25/25 10:25,106,34.9,98.5,24.6,Closed,Success,OP101,GMC03,Stable
O2M00031,PRT003,LOT101,8/25/25 10:30,118,34.3,99.4,25.7,Open,Success,OP101,GMC01,Stable
O2M00032,PRT002,LOT100,8/25/25 10:35,118,36.3,99.4,25.9,Open,Success,OP103,GMC01,Stable
O2M00033,PRT001,LOT102,8/25/25 10:40,107,34.7,99.6,25.5,Closed,Success,OP102,GMC02,Leak detected
O2M00034,PRT003,LOT101,8/25/25 10:45,106,34.9,98.3,25.5,Open,Success,OP102,GMC03,Leak detected
O2M00035,PRT002,LOT102,8/25/25 10:50,143,34.4,98.1,24.2,Closed,Success,OP102,GMC01,Stable
O2M00036,PRT002,LOT101,8/25/25 10:55,140,35.6,99.2,23.5,Open,Success,OP102,GMC02,Stable
O2M00037,PRT003,LOT100,8/25/25 11:00,149,36,98.6,24.2,Open,Success,OP103,GMC03,Flow error
O2M00038,PRT003,LOT100,8/25/25 11:05,132,34.5,99.2,23.5,Open,Success,OP102,GMC02,Flow error
O2M00039,PRT001,LOT101,8/25/25 11:10,107,36.5,99.9,26.5,Closed,Success,OP102,GMC02,Stable
O2M00040,PRT003,LOT101,8/25/25 11:15,120,36,99.4,24.5,Open,Success,OP103,GMC03,Check supply
O2M00041,PRT002,LOT101,8/25/25 11:20,149,34,99.5,25.6,Closed,Fail,OP102,GMC03,Stable
O2M00042,PRT001,LOT102,8/25/25 11:25,137,36.6,99,25.1,Open,Success,OP102,GMC03,Leak detected
O2M00043,PRT001,LOT102,8/25/25 11:30,125,34.2,99.9,24.3,Closed,Success,OP101,GMC02,Stable
O2M00044,PRT001,LOT101,8/25/25 11:35,127,36,98.8,24.7,Closed,Success,OP102,GMC03,Check supply
O2M00045,PRT003,LOT102,8/25/25 11:40,133,34.3,99.8,26.1,Closed,Success,OP102,GMC02,Leak detected
O2M00046,PRT003,LOT101,8/25/25 11:45,133,36.7,98.1,25,Open,Success,OP103,GMC01,Leak detected
O2M00047,PRT003,LOT100,8/25/25 11:50,141,36.3,100,23.1,Closed,Success,OP101,GMC01,Leak detected
O2M00048,PRT002,LOT100,8/25/25 11:55,127,35.6,99.6,23.1,Closed,Success,OP103,GMC03,Leak detected
O2M00049,PRT002,LOT100,8/25/25 12:00,146,34.2,98.3,26.6,Closed,Success,OP101,GMC02,Flow error
O2M00050,PRT001,LOT100,8/25/25 12:05,128,34.4,98.2,24.9,Closed,Success,OP101,GMC02,Leak detected
O2M00051,PRT001,LOT101,8/25/25 12:10,101,36.4,99.3,24.4,Closed,Success,OP102,GMC03,Leak detected
O2M00052,PRT003,LOT102,8/25/25 12:15,108,34.3,98.4,24.1,Open,Success,OP101,GMC02,Check supply
O2M00053,PRT002,LOT101,8/25/25 12:20,103,35.9,99.7,23,Open,Success,OP101,GMC03,Stable
O2M00054,PRT002,LOT100,8/25/25 12:25,136,36.4,98.3,24.3,Open,Success,OP101,GMC02,Check supply
O2M00055,PRT001,LOT100,8/25/25 12:30,145,35.5,98.5,26.4,Open,Success,OP103,GMC03,Leak detected
O2M00056,PRT001,LOT101,8/25/25 12:35,112,36.9,99.9,24.8,Closed,Fail,OP101,GMC03,Check supply
O2M00057,PRT001,LOT100,8/25/25 12:40,125,34.5,98.5,23.8,Closed,Success,OP102,GMC02,Flow error
O2M00058,PRT001,LOT101,8/25/25 12:45,123,35.3,99.5,23.4,Open,Success,OP101,GMC03,Check supply
O2M00059,PRT002,LOT101,8/25/25 12:50,120,34.4,98.1,23.5,Closed,Success,OP103,GMC02,Flow error
O2M00060,PRT003,LOT101,8/25/25 12:55,131,35.6,98.5,26.1,Open,Success,OP103,GMC03,Leak detected
O2M00061,PRT003,LOT101,8/25/25 13:00,108,34.8,99.3,25.7,Closed,Success,OP103,GMC03,Check supply
O2M00062,PRT003,LOT102,8/25/25 13:05,146,34.2,99,24.9,Open,Success,OP101,GMC02,Check supply
O2M00063,PRT003,LOT100,8/25/25 13:10,107,37,98.3,23.7,Closed,Success,OP103,GMC01,Stable
O2M00064,PRT003,LOT100,8/25/25 13:15,119,35.5,99.1,24.8,Closed,Success,OP103,GMC01,Stable
O2M00065,PRT001,LOT100,8/25/25 13:20,122,34.9,98.4,25.9,Closed,Success,OP101,GMC02,Flow error
O2M00066,PRT002,LOT100,8/25/25 13:25,101,36.9,99.9,23.5,Open,Success,OP103,GMC01,Check supply
O2M00067,PRT001,LOT102,8/25/25 13:30,143,35,99.6,24.2,Closed,Success,OP102,GMC03,Check supply
O2M00068,PRT003,LOT102,8/25/25 13:35,116,35.7,98.7,23.1,Closed,Success,OP101,GMC03,Stable
O2M00069,PRT002,LOT100,8/25/25 13:40,144,35.3,98.6,26.2,Open,Success,OP103,GMC01,Flow error
O2M00070,PRT002,LOT102,8/25/25 13:45,102,34.4,99.4,25.1,Closed,Success,OP103,GMC03,Leak detected
O2M00071,PRT002,LOT100,8/25/25 13:50,142,34,100,23.7,Open,Success,OP101,GMC01,Leak detected
O2M00072,PRT001,LOT100,8/25/25 13:55,141,36.2,100,23.8,Closed,Success,OP103,GMC02,Leak detected
O2M00073,PRT002,LOT101,8/25/25 14:00,122,36.4,99.2,26.7,Open,Success,OP103,GMC03,Flow error
O2M00074,PRT003,LOT101,8/25/25 14:05,127,36,99.6,23.1,Closed,Success,OP101,GMC02,Flow error
O2M00075,PRT001,LOT101,8/25/25 14:10,135,34.3,98.2,25.1,Closed,Success,OP102,GMC03,Leak detected
O2M00076,PRT003,LOT101,8/25/25 14:15,133,36.2,99.1,25.5,Open,Success,OP102,GMC03,Flow error
O2M00077,PRT003,LOT100,8/25/25 14:20,103,35.1,98.8,25.7,Open,Success,OP103,GMC01,Check supply
O2M00078,PRT003,LOT100,8/25/25 14:25,147,36.8,98.5,26.5,Closed,Success,OP102,GMC01,Leak detected
O2M00079,PRT002,LOT101,8/25/25 14:30,109,34.8,99.8,26.7,Open,Success,OP103,GMC02,Flow error
O2M00080,PRT002,LOT100,8/25/25 14:35,143,35,99.2,24.2,Open,Success,OP102,GMC03,Stable
O2M00081,PRT001,LOT100,8/25/25 14:40,106,35,100,25.9,Open,Success,OP103,GMC01,Flow error
O2M00082,PRT003,LOT101,8/25/25 14:45,140,35.7,98.8,25.6,Closed,Success,OP102,GMC02,Leak detected
O2M00083,PRT001,LOT102,8/25/25 14:50,148,36.6,98.5,25.2,Closed,Success,OP102,GMC02,Flow error
O2M00084,PRT001,LOT102,8/25/25 14:55,122,36.1,99.6,23.4,Open,Success,OP101,GMC03,Leak detected
O2M00085,PRT003,LOT101,8/25/25 15:00,114,34.6,98.9,26.1,Open,Success,OP103,GMC03,Flow error
O2M00086,PRT003,LOT100,8/25/25 15:05,108,36.4,99.4,25.7,Open,Success,OP101,GMC01,Check supply
O2M00087,PRT003,LOT101,8/25/25 15:10,127,34.6,99,25.8,Closed,Success,OP103,GMC01,Stable
O2M00088,PRT003,LOT102,8/25/25 15:15,122,36.6,98.6,23.2,Open,Fail,OP102,GMC01,Check supply
O2M00089,PRT003,LOT100,8/25/25 15:20,142,34.4,99.8,23.5,Open,Success,OP103,GMC03,Leak detected
O2M00090,PRT002,LOT100,8/25/25 15:25,107,35.4,99.6,25.4,Closed,Success,OP102,GMC03,Flow error
O2M00091,PRT002,LOT101,8/25/25 15:30,126,35.2,98.2,23.1,Closed,Success,OP102,GMC01,Flow error
O2M00092,PRT001,LOT100,8/25/25 15:35,124,34.8,98.9,26.7,Closed,Success,OP101,GMC02,Leak detected
O2M00093,PRT001,LOT100,8/25/25 15:40,142,34.8,98.2,23.6,Open,Success,OP101,GMC02,Flow error
O2M00094,PRT003,LOT102,8/25/25 15:45,112,34.5,99.1,24.7,Open,Success,OP103,GMC03,Flow error
O2M00095,PRT002,LOT102,8/25/25 15:50,127,35.3,99.2,26.9,Open,Success,OP103,GMC03,Flow error
O2M00096,PRT002,LOT100,8/25/25 15:55,121,36.1,98.8,23,Closed,Success,OP101,GMC02,Leak detected
O2M00097,PRT001,LOT101,8/25/25 16:00,144,35.2,99.3,25.9,Open,Success,OP103,GMC01,Leak detected
O2M00098,PRT002,LOT100,8/25/25 16:05,133,35.9,98.8,25.4,Open,Success,OP101,GMC01,Leak detected
O2M00099,PRT001,LOT102,8/25/25 16:10,134,36.2,99.4,26.8,Closed,Success,OP101,GMC02,Leak detected
O2M00100,PRT003,LOT102,8/25/25 16:15,118,34.6,99.2,25.4,Closed,Fail,OP102,GMC02,Flow error
O2M00101,PRT001,LOT102,8/25/25 16:20,105,35.3,99.5,26.8,Open,Success,OP102,GMC01,Leak detected
O2M00102,PRT002,LOT102,8/25/25 16:25,125,35.4,100,25.2,Closed,Success,OP101,GMC02,Flow error
O2M00103,PRT003,LOT101,8/25/25 16:30,126,37,99.3,24.6,Open,Success,OP101,GMC02,Check supply
O2M00104,PRT003,LOT101,8/25/25 16:35,104,34.8,99.3,24.3,Open,Success,OP103,GMC01,Check supply
O2M00105,PRT002,LOT102,8/25/25 16:40,115,35.3,98.8,24.7,Open,Success,OP103,GMC01,Check supply
O2M00106,PRT001,LOT100,8/25/25 16:45,128,36.1,99,26.1,Closed,Success,OP102,GMC01,Flow error
O2M00107,PRT003,LOT100,8/25/25 16:50,131,36.7,99.3,25.6,Closed,Success,OP102,GMC02,Flow error
O2M00108,PRT001,LOT101,8/25/25 16:55,110,36.9,98.6,26,Open,Success,OP102,GMC02,Stable
O2M00109,PRT002,LOT101,8/25/25 17:00,107,36.5,98.9,23.9,Closed,Success,OP102,GMC01,Flow error
O2M00110,PRT002,LOT101,8/25/25 17:05,150,35.3,98.7,23.6,Closed,Success,OP101,GMC03,Check supply
O2M00111,PRT001,LOT100,8/25/25 17:10,117,34.9,98.2,25.3,Open,Success,OP101,GMC02,Check supply
O2M00112,PRT001,LOT102,8/25/25 17:15,148,36,98.9,25.4,Closed,Success,OP102,GMC03,Flow error
O2M00113,PRT001,LOT102,8/25/25 17:20,109,36.6,99.8,25.2,Closed,Success,OP103,GMC01,Leak detected
O2M00114,PRT001,LOT101,8/25/25 17:25,123,34,98.9,23.8,Closed,Success,OP102,GMC03,Flow error
O2M00115,PRT001,LOT102,8/25/25 17:30,104,36.2,99.5,26.2,Open,Success,OP101,GMC02,Flow error
O2M00116,PRT003,LOT100,8/25/25 17:35,125,34.6,99.3,24,Open,Success,OP101,GMC02,Stable
O2M00117,PRT002,LOT101,8/25/25 17:40,138,34.6,99.4,23.3,Closed,Success,OP103,GMC01,Check supply
O2M00118,PRT003,LOT102,8/25/25 17:45,111,34.1,99.4,24,Closed,Success,OP103,GMC02,Flow error
O2M00119,PRT002,LOT100,8/25/25 17:50,150,34.5,99.1,25.1,Closed,Success,OP102,GMC01,Check supply
O2M00120,PRT001,LOT100,8/25/25 17:55,129,35.3,98.6,26.7,Open,Success,OP101,GMC02,Stable
O2M00121,PRT003,LOT100,8/25/25 18:00,145,34.5,98.3,25.3,Closed,Success,OP102,GMC03,Stable
O2M00122,PRT003,LOT102,8/25/25 18:05,118,34.9,99,24.5,Closed,Success,OP103,GMC01,Leak detected
O2M00123,PRT001,LOT102,8/25/25 18:10,120,36.7,98.5,23,Open,Success,OP101,GMC02,Flow error
O2M00124,PRT003,LOT102,8/25/25 18:15,113,34.2,99.4,25.5,Open,Success,OP101,GMC03,Flow error
O2M00125,PRT002,LOT102,8/25/25 18:20,148,34.7,98.8,24,Open,Success,OP103,GMC01,Stable
O2M00126,PRT003,LOT102,8/25/25 18:25,138,34.1,98.5,26.3,Open,Success,OP101,GMC02,Check supply
O2M00127,PRT003,LOT102,8/25/25 18:30,125,37,99.5,26.2,Open,Success,OP102,GMC02,Flow error
O2M00128,PRT002,LOT100,8/25/25 18:35,150,35.5,98.7,26.3,Closed,Success,OP101,GMC03,Leak detected
O2M00129,PRT002,LOT100,8/25/25 18:40,149,35.4,98.8,26.9,Open,Success,OP102,GMC01,Stable
O2M00130,PRT002,LOT102,8/25/25 18:45,126,34.3,99.6,27,Closed,Success,OP102,GMC02,Stable
O2M00131,PRT001,LOT101,8/25/25 18:50,143,35.1,98.8,25.6,Open,Success,OP101,GMC02,Check supply
O2M00132,PRT001,LOT102,8/25/25 18:55,114,35.7,99,23.6,Closed,Success,OP101,GMC02,Check supply
O2M00133,PRT001,LOT101,8/25/25 19:00,143,36.8,98.4,26.6,Closed,Success,OP103,GMC01,Check supply
O2M00134,PRT002,LOT102,8/25/25 19:05,123,36.7,98.5,24.4,Open,Success,OP103,GMC03,Leak detected
O2M00135,PRT001,LOT101,8/25/25 19:10,104,36.8,98.9,23.8,Closed,Success,OP101,GMC01,Check supply
O2M00136,PRT002,LOT102,8/25/25 19:15,101,36.1,99.7,23.2,Open,Success,OP103,GMC03,Flow error
O2M00137,PRT001,LOT102,8/25/25 19:20,100,36.5,99.9,26.4,Closed,Success,OP101,GMC03,Check supply
O2M00138,PRT001,LOT102,8/25/25 19:25,115,35.1,99.1,24.8,Open,Success,OP101,GMC02,Flow error
O2M00139,PRT003,LOT102,8/25/25 19:30,137,35.9,99.5,23.6,Open,Success,OP103,GMC02,Stable
O2M00140,PRT001,LOT102,8/25/25 19:35,127,36.6,99.9,26.6,Open,Success,OP101,GMC01,Stable
O2M00141,PRT003,LOT102,8/25/25 19:40,112,35.2,99.8,25.7,Closed,Success,OP103,GMC02,Check supply
O2M00142,PRT002,LOT102,8/25/25 19:45,146,37,99.9,23.7,Closed,Success,OP102,GMC01,Stable
O2M00143,PRT001,LOT102,8/25/25 19:50,132,35.3,99.1,24.8,Open,Success,OP102,GMC03,Stable
O2M00144,PRT001,LOT100,8/25/25 19:55,127,35.1,98.6,23.8,Open,Success,OP103,GMC03,Leak detected
O2M00145,PRT003,LOT100,8/25/25 20:00,104,35.4,98.4,24.7,Open,Success,OP103,GMC01,Check supply
O2M00146,PRT003,LOT102,8/25/25 20:05,109,35.1,99.8,26.7,Closed,Success,OP101,GMC03,Stable
O2M00147,PRT002,LOT101,8/25/25 20:10,132,34.9,99.2,26.3,Open,Success,OP102,GMC03,Check supply
O2M00148,PRT001,LOT102,8/25/25 20:15,148,34.8,98.8,23.5,Closed,Success,OP101,GMC01,Check supply
O2M00149,PRT002,LOT100,8/25/25 20:20,135,35.1,99.7,26.1,Open,Success,OP102,GMC02,Check supply
O2M00150,PRT001,LOT102,8/25/25 20:25,126,34.8,99.2,24.8,Closed,Success,OP102,GMC03,Stable
O2M00151,PRT003,LOT102,8/25/25 20:30,105,34.6,99.4,24,Open,Success,OP101,GMC02,Flow error
O2M00152,PRT002,LOT100,8/25/25 20:35,123,34.2,99.9,23.9,Closed,Success,OP102,GMC03,Flow error
O2M00153,PRT002,LOT102,8/25/25 20:40,110,37,98.3,25.1,Closed,Fail,OP101,GMC02,Leak detected
O2M00154,PRT001,LOT101,8/25/25 20:45,113,35.7,99.2,25.6,Closed,Success,OP101,GMC01,Check supply
O2M00155,PRT001,LOT102,8/25/25 20:50,112,35.4,99.6,23.8,Closed,Success,OP102,GMC01,Flow error
O2M00156,PRT002,LOT100,8/25/25 20:55,142,36.9,98.7,24.8,Closed,Success,OP101,GMC02,Leak detected
O2M00157,PRT002,LOT102,8/25/25 21:00,103,36.8,99.6,26.5,Closed,Success,OP103,GMC03,Stable
O2M00158,PRT003,LOT101,8/25/25 21:05,123,35.7,98.4,24.3,Open,Success,OP101,GMC03,Leak detected
O2M00159,PRT003,LOT100,8/25/25 21:10,112,36.1,99.5,23.7,Open,Success,OP102,GMC02,Flow error
O2M00160,PRT003,LOT100,8/25/25 21:15,130,35.2,99.9,23.9,Closed,Fail,OP101,GMC02,Leak detected
O2M00161,PRT002,LOT102,8/25/25 21:20,102,36.6,99.6,25.4,Closed,Success,OP103,GMC01,Check supply
O2M00162,PRT001,LOT101,8/25/25 21:25,128,35.2,99.9,24.4,Closed,Success,OP103,GMC03,Stable
O2M00163,PRT001,LOT102,8/25/25 21:30,101,34.8,99.8,25.1,Closed,Success,OP101,GMC02,Flow error
O2M00164,PRT001,LOT102,8/25/25 21:35,105,34.7,99.6,26.4,Closed,Success,OP101,GMC01,Check supply
O2M00165,PRT003,LOT100,8/25/25 21:40,102,36.7,99,24.3,Open,Success,OP103,GMC03,Check supply
O2M00166,PRT003,LOT102,8/25/25 21:45,134,34.1,98.9,24.4,Open,Success,OP102,GMC01,Leak detected
O2M00167,PRT002,LOT102,8/25/25 21:50,137,34.1,98.9,25.6,Closed,Success,OP101,GMC01,Check supply
O2M00168,PRT002,LOT101,8/25/25 21:55,118,34.8,98.7,24.4,Open,Success,OP103,GMC01,Check supply
O2M00169,PRT001,LOT101,8/25/25 22:00,111,36.6,99.6,23.3,Closed,Success,OP101,GMC02,Leak detected
O2M00170,PRT002,LOT101,8/25/25 22:05,146,34.3,98.7,23.8,Closed,Success,OP102,GMC02,Stable
O2M00171,PRT001,LOT102,8/25/25 22:10,130,34.7,99.4,23.8,Closed,Success,OP101,GMC01,Flow error
O2M00172,PRT002,LOT100,8/25/25 22:15,132,34.9,98.4,26.9,Closed,Success,OP101,GMC01,Stable
O2M00173,PRT002,LOT102,8/25/25 22:20,101,36.9,99.2,25.6,Closed,Success,OP103,GMC02,Stable
O2M00174,PRT001,LOT101,8/25/25 22:25,119,36.1,99.2,23.2,Closed,Success,OP103,GMC02,Flow error
O2M00175,PRT002,LOT101,8/25/25 22:30,128,36,98.7,24.8,Closed,Success,OP102,GMC03,Check supply
O2M00176,PRT003,LOT100,8/25/25 22:35,128,36.3,99.6,23.5,Open,Success,OP103,GMC02,Flow error
O2M00177,PRT002,LOT100,8/25/25 22:40,112,35.9,99.5,26.3,Open,Success,OP102,GMC01,Check supply
O2M00178,PRT003,LOT102,8/25/25 22:45,101,34.7,98.5,25.5,Open,Success,OP103,GMC02,Leak detected
O2M00179,PRT003,LOT100,8/25/25 22:50,124,34.2,99.8,24.5,Open,Success,OP103,GMC01,Flow error
O2M00180,PRT001,LOT100,8/25/25 22:55,149,35.5,99.2,26.2,Closed,Fail,OP102,GMC03,Stable
O2M00181,PRT003,LOT102,8/25/25 23:00,126,35.5,98.9,25.3,Closed,Success,OP103,GMC01,Leak detected
O2M00182,PRT001,LOT102,8/25/25 23:05,133,37,99.5,24.2,Open,Success,OP103,GMC03,Check supply
O2M00183,PRT002,LOT101,8/25/25 23:10,139,35.1,99.3,24.6,Closed,Success,OP103,GMC02,Stable
O2M00184,PRT001,LOT100,8/25/25 23:15,132,36.4,98.5,25.9,Open,Success,OP101,GMC03,Leak detected
O2M00185,PRT003,LOT100,8/25/25 23:20,132,34.6,98.1,24.9,Open,Success,OP103,GMC03,Flow error
O2M00186,PRT002,LOT102,8/25/25 23:25,114,34.4,99,23.6,Open,Success,OP103,GMC03,Leak detected
O2M00187,PRT002,LOT101,8/25/25 23:30,150,36,98.9,26.1,Closed,Success,OP101,GMC01,Flow error
O2M00188,PRT003,LOT100,8/25/25 23:35,143,35.6,99.7,24.5,Closed,Success,OP102,GMC01,Leak detected
O2M00189,PRT003,LOT101,8/25/25 23:40,112,36.3,98.3,23.1,Closed,Success,OP102,GMC03,Leak detected
O2M00190,PRT003,LOT101,8/25/25 23:45,122,35.8,99.7,25.4,Closed,Success,OP102,GMC01,Stable
O2M00191,PRT003,LOT102,8/25/25 23:50,128,35.8,99.9,24,Open,Success,OP102,GMC03,Stable
O2M00192,PRT003,LOT101,8/25/25 23:55,121,34.2,98.7,26.9,Closed,Success,OP103,GMC02,Leak detected
O2M00193,PRT003,LOT102,8/26/25 0:00,108,35.2,99.9,24.7,Closed,Success,OP102,GMC01,Leak detected
O2M00194,PRT003,LOT102,8/26/25 0:05,122,34.1,99.6,26.9,Open,Success,OP101,GMC02,Flow error
O2M00195,PRT003,LOT102,8/26/25 0:10,128,35.6,99.1,23,Closed,Success,OP101,GMC01,Stable
O2M00196,PRT002,LOT102,8/26/25 0:15,110,36.9,99.4,26.3,Closed,Success,OP101,GMC03,Flow error
O2M00197,PRT003,LOT101,8/26/25 0:20,114,35,98.6,24.6,Open,Success,OP103,GMC03,Flow error
O2M00198,PRT001,LOT101,8/26/25 0:25,108,36.1,98.9,25.8,Closed,Success,OP102,GMC01,Flow error
O2M00199,PRT002,LOT102,8/26/25 0:30,116,34.3,99.2,26.9,Open,Success,OP103,GMC03,Stable
O2M00200,PRT001,LOT102,8/26/25 0:35,150,36.4,98.7,25.1,Closed,Fail,OP102,GMC02,Leak detected
O2M00201,PRT003,LOT100,8/26/25 0:40,118,35.6,98.2,25.8,Closed,Success,OP103,GMC01,Flow error
O2M00202,PRT001,LOT100,8/26/25 0:45,144,36.6,98.1,25,Closed,Success,OP103,GMC03,Flow error
O2M00203,PRT001,LOT101,8/26/25 0:50,105,36.1,99,26.8,Closed,Success,OP103,GMC01,Check supply
O2M00204,PRT001,LOT102,8/26/25 0:55,108,34.4,99.9,26.4,Closed,Success,OP102,GMC01,Leak detected
O2M00205,PRT001,LOT101,8/26/25 1:00,127,35.8,98.1,24.1,Open,Success,OP101,GMC02,Flow error
O2M00206,PRT003,LOT102,8/26/25 1:05,128,34.7,98.9,24.2,Open,Success,OP102,GMC03,Stable
O2M00207,PRT003,LOT101,8/26/25 1:10,114,36.2,98.8,26.5,Closed,Success,OP101,GMC02,Flow error
O2M00208,PRT001,LOT101,8/26/25 1:15,133,35.2,99.5,23.3,Closed,Success,OP103,GMC03,Flow error
O2M00209,PRT001,LOT102,8/26/25 1:20,104,36,98.7,23.6,Open,Success,OP103,GMC02,Leak detected
O2M00210,PRT003,LOT100,8/26/25 1:25,107,36.6,98.2,24.8,Closed,Success,OP103,GMC03,Flow error
O2M00211,PRT003,LOT102,8/26/25 1:30,114,36,98.7,24.1,Open,Success,OP103,GMC03,Flow error
O2M00212,PRT003,LOT100,8/26/25 1:35,100,34.9,99.4,24.5,Closed,Success,OP101,GMC03,Leak detected
O2M00213,PRT003,LOT102,8/26/25 1:40,121,36.6,99.8,25.6,Closed,Success,OP102,GMC01,Flow error
O2M00214,PRT002,LOT101,8/26/25 1:45,122,35.8,98.2,26.1,Closed,Success,OP101,GMC03,Check supply
O2M00215,PRT002,LOT102,8/26/25 1:50,134,34.5,98.2,23.5,Closed,Success,OP103,GMC03,Check supply
O2M00216,PRT003,LOT100,8/26/25 1:55,106,36.9,99.2,26.1,Closed,Success,OP103,GMC03,Flow error
O2M00217,PRT001,LOT100,8/26/25 2:00,144,36.1,99,25.2,Closed,Success,OP101,GMC01,Flow error
O2M00218,PRT001,LOT101,8/26/25 2:05,118,34.5,98.1,26.8,Open,Success,OP102,GMC03,Stable
O2M00219,PRT001,LOT100,8/26/25 2:10,135,35.1,99.7,24.6,Open,Success,OP102,GMC02,Check supply
O2M00220,PRT003,LOT102,8/26/25 2:15,114,34.6,99.7,24.2,Closed,Success,OP102,GMC01,Leak detected
O2M00221,PRT001,LOT100,8/26/25 2:20,147,35.4,98.8,26.2,Closed,Success,OP103,GMC02,Leak detected
O2M00222,PRT003,LOT102,8/26/25 2:25,144,35.9,99.7,24.6,Closed,Success,OP103,GMC03,Stable
O2M00223,PRT003,LOT102,8/26/25 2:30,131,34.7,98.8,23.2,Open,Success,OP101,GMC03,Leak detected
O2M00224,PRT003,LOT100,8/26/25 2:35,126,35.9,98.2,23.4,Open,Success,OP103,GMC02,Check supply
O2M00225,PRT003,LOT101,8/26/25 2:40,111,36.1,98.7,24.3,Closed,Success,OP103,GMC03,Flow error
O2M00226,PRT001,LOT101,8/26/25 2:45,133,35.7,99.6,24.2,Closed,Success,OP103,GMC01,Check supply
O2M00227,PRT002,LOT100,8/26/25 2:50,114,34.8,98.7,26.1,Open,Success,OP101,GMC01,Leak detected
O2M00228,PRT002,LOT101,8/26/25 2:55,133,36,99.9,26.8,Open,Success,OP102,GMC02,Stable
O2M00229,PRT003,LOT100,8/26/25 3:00,130,35.1,98.4,26.5,Open,Success,OP102,GMC02,Check supply
