Cure_ID,Protocol_ID,Lot_ID,Lens_ID,Cavity_ID,DateTime,Precure_Duration_min,RTD1_Temp_C,RTD2_Temp_C,PID_Heater_Setpoint_C,PID_Heater_Actual_C,Pressure_psi,Humidity,Status,Operator_ID,Machine_ID,Defect_Type,Remarks
CURE00049,PRT004,LOT110,LENS0425,CAV06,8/1/25 12:05,19,119.43,116.4,119,121.35,38.52,46.39,Fail,OP107,MC03,Misalignment,Rework needed
CURE00050,PRT007,LOT103,LENS0361,CAV12,8/1/25 12:10,18,122.12,124.12,120,119.32,38.07,42.94,Fail,OP108,MC03,Bubble,Rework needed
CURE00051,PRT007,LOT102,LENS0335,CAV12,8/1/25 12:15,19,124.37,123.02,119,118.7,39.21,40.36,Success,OP103,MC04,None,Stable cycle
CURE00052,PRT008,LOT119,LENS0020,CAV13,8/1/25 12:20,15,119.19,115.8,122,123.33,43.15,44.77,Fail,OP106,MC01,Misalignment,Rework needed
CURE00053,PRT004,LOT100,LENS0479,CAV15,8/1/25 12:25,13,116.2,122.77,121,120.11,42.94,53.62,Rework,OP109,MC04,Scratch,Rework needed
CURE00054,PRT010,LOT112,LENS0366,CAV04,8/1/25 12:30,11,121.01,115.14,119,117.11,43.14,50.34,Rework,OP104,MC02,Misalignment,Rework needed
CURE00055,PRT008,LOT101,LENS0228,CAV20,8/1/25 12:35,17,121.26,118.5,119,120.95,38.56,44.46,Success,OP110,MC04,None,Stable cycle
CURE00056,PRT002,LOT103,LENS0412,CAV20,8/1/25 12:40,19,121.83,120.6,119,120.35,40.46,49.74,Rework,OP109,MC03,Scratch,Rework needed
CURE00057,PRT010,LOT113,LENS0399,CAV18,8/1/25 12:45,16,121.58,115.92,119,119.48,42.38,46.86,Fail,OP105,MC02,Bubble,Rework needed
CURE00058,PRT003,LOT110,LENS0371,CAV14,8/1/25 12:50,16,117.15,115.06,121,123.73,40.16,47.86,Fail,OP107,MC02,Misalignment,Rework needed
CURE00059,PRT007,LOT114,LENS0070,CAV18,8/1/25 12:55,16,117.24,119.17,118,115.6,39.85,50.86,Rework,OP103,MC04,Bubble,Rework needed
CURE00060,PRT001,LOT117,LENS0421,CAV10,8/1/25 13:00,20,121.21,117.84,121,121.57,42.78,44.78,Success,OP103,MC04,None,Stable cycle
CURE00061,PRT004,LOT109,LENS0059,CAV10,8/1/25 13:05,19,121.84,118.97,118,115.35,38.1,44.9,Success,OP102,MC04,None,Stable cycle
CURE00062,PRT004,LOT112,LENS0071,CAV18,8/1/25 13:10,15,118.72,122.67,121,118.81,40.92,52.73,Success,OP107,MC05,None,Stable cycle
CURE00063,PRT004,LOT112,LENS0090,CAV16,8/1/25 13:15,16,124.3,124.99,121,119.7,38.22,47.62,Fail,OP102,MC05,Bubble,Rework needed
CURE00064,PRT001,LOT110,LENS0470,CAV04,8/1/25 13:20,10,124.14,121.26,120,118.23,38.16,50.27,Rework,OP107,MC04,Scratch,Rework needed
CURE00065,PRT009,LOT104,LENS0288,CAV09,8/1/25 13:25,12,120.46,117.96,118,120.51,38.92,47.24,Fail,OP104,MC02,Scratch,Rework needed
CURE00066,PRT008,LOT104,LENS0230,CAV19,8/1/25 13:30,14,119.2,115.76,122,122.39,42.25,52.93,Fail,OP102,MC01,Misalignment,Rework needed
CURE00067,PRT003,LOT120,LENS0037,CAV15,8/1/25 13:35,16,124.32,121.67,119,118.5,40.27,52.52,Success,OP108,MC05,None,Stable cycle
CURE00068,PRT005,LOT108,LENS0031,CAV03,8/1/25 13:40,12,119.11,118.94,119,118.98,44.68,43.35,Fail,OP105,MC03,Bubble,Rework needed
CURE00069,PRT001,LOT101,LENS0284,CAV12,8/1/25 13:45,13,119.12,117.97,120,117.07,43.18,48.75,Success,OP103,MC01,None,Stable cycle
CURE00070,PRT003,LOT118,LENS0349,CAV06,8/1/25 13:50,20,116.09,117.69,122,121.65,39.51,43.08,Fail,OP104,MC05,Misalignment,Rework needed
CURE00071,PRT005,LOT120,LENS0109,CAV17,8/1/25 13:55,10,122.49,117.93,119,116.03,44.09,44.31,Success,OP108,MC03,None,Stable cycle
CURE00072,PRT005,LOT119,LENS0434,CAV11,8/1/25 14:00,16,115.3,124.58,121,120.11,41.9,47.04,Success,OP108,MC05,None,Stable cycle
CURE00073,PRT001,LOT110,LENS0287,CAV05,8/1/25 14:05,17,122.81,118.84,120,122.78,40.73,46.47,Success,OP107,MC03,None,Stable cycle
CURE00074,PRT007,LOT112,LENS0132,CAV11,8/1/25 14:10,14,119.3,122.17,120,121.88,44.76,54.64,Rework,OP104,MC05,Scratch,Rework needed
CURE00075,PRT009,LOT117,LENS0361,CAV20,8/1/25 14:15,17,123.35,124.58,119,117.64,42,48.6,Success,OP104,MC04,None,Stable cycle
CURE00076,PRT008,LOT100,LENS0335,CAV02,8/1/25 14:20,11,120.63,120.43,122,119.61,39.79,49.05,Rework,OP103,MC03,Bubble,Rework needed
CURE00077,PRT006,LOT116,LENS0203,CAV08,8/1/25 14:25,17,120.71,118.19,119,116.11,42.34,45.54,Rework,OP102,MC03,Bubble,Rework needed
CURE00078,PRT005,LOT106,LENS0206,CAV03,8/1/25 14:30,20,119.09,123.61,122,122.41,40.3,44.23,Fail,OP102,MC03,Scratch,Rework needed
CURE00079,PRT009,LOT117,LENS0324,CAV02,8/1/25 14:35,15,116.99,120.69,118,118.79,43.49,53.21,Fail,OP105,MC01,Scratch,Rework needed
CURE00080,PRT005,LOT110,LENS0415,CAV11,8/1/25 14:40,20,123.25,119.96,122,120.02,39.51,47,Rework,OP105,MC05,Bubble,Rework needed
CURE00081,PRT010,LOT119,LENS0048,CAV17,8/1/25 14:45,19,122.2,123.92,119,118.86,41.15,45.08,Success,OP105,MC01,None,Stable cycle
CURE00082,PRT002,LOT109,LENS0285,CAV19,8/1/25 14:50,17,121.17,120.88,122,124.07,44.68,40.14,Fail,OP110,MC03,Misalignment,Rework needed
CURE00083,PRT008,LOT107,LENS0487,CAV06,8/1/25 14:55,14,121.23,124.57,121,121.08,38,42.72,Success,OP109,MC02,None,Stable cycle
CURE00084,PRT005,LOT106,LENS0351,CAV04,8/1/25 15:00,10,120.46,116.3,119,119.61,39,43.49,Fail,OP109,MC05,Bubble,Rework needed
CURE00085,PRT005,LOT101,LENS0374,CAV02,8/1/25 15:05,19,120.85,122.93,122,123.73,43.55,45.14,Fail,OP104,MC02,Scratch,Rework needed
CURE00086,PRT003,LOT103,LENS0095,CAV20,8/1/25 15:10,16,123.47,117.87,121,120.7,42.95,43.45,Rework,OP110,MC04,Misalignment,Rework needed
CURE00087,PRT002,LOT117,LENS0009,CAV11,8/1/25 15:15,10,119.22,121.44,119,117.32,41.18,45.02,Success,OP105,MC03,None,Stable cycle
CURE00088,PRT005,LOT104,LENS0371,CAV20,8/1/25 15:20,11,122.82,124.2,119,120.06,41.72,41.95,Fail,OP104,MC01,Misalignment,Rework needed
CURE00089,PRT004,LOT106,LENS0419,CAV20,8/1/25 15:25,16,124.01,124.77,118,117.55,39.68,40.19,Fail,OP109,MC04,Bubble,Rework needed
CURE00090,PRT006,LOT101,LENS0238,CAV10,8/1/25 15:30,11,120,116.34,119,120.31,40.6,46.76,Rework,OP107,MC01,Bubble,Rework needed
CURE00091,PRT007,LOT104,LENS0141,CAV04,8/1/25 15:35,15,118.54,123.08,118,120.13,43.45,48.73,Success,OP105,MC04,None,Stable cycle
CURE00092,PRT010,LOT111,LENS0498,CAV18,8/1/25 15:40,14,118.86,115.75,121,123.44,40.17,49.93,Success,OP106,MC04,None,Stable cycle
CURE00093,PRT002,LOT118,LENS0249,CAV13,8/1/25 15:45,20,120.7,116.29,121,118.6,43.99,53.75,Success,OP105,MC03,None,Stable cycle
CURE00094,PRT007,LOT116,LENS0162,CAV18,8/1/25 15:50,19,123.22,121.4,118,116.78,39.57,43.11,Success,OP106,MC02,None,Stable cycle
CURE00095,PRT010,LOT110,LENS0029,CAV10,8/1/25 15:55,15,122.42,123.51,122,119.58,42.91,50.73,Success,OP102,MC05,None,Stable cycle
CURE00096,PRT001,LOT105,LENS0041,CAV16,8/1/25 16:00,13,120.87,118.3,118,117.91,39.9,50.17,Success,OP101,MC05,None,Stable cycle
CURE00097,PRT007,LOT115,LENS0100,CAV07,8/1/25 16:05,17,116.64,123.8,122,121.16,39.79,51.72,Fail,OP101,MC01,Scratch,Rework needed
CURE00098,PRT001,LOT109,LENS0413,CAV09,8/1/25 16:10,17,124.42,121.8,120,118.47,43.28,42.04,Rework,OP104,MC05,Scratch,Rework needed
CURE00099,PRT010,LOT108,LENS0401,CAV17,8/1/25 16:15,18,118.4,123.19,122,123.52,38.62,51.49,Fail,OP110,MC02,Misalignment,Rework needed
CURE00100,PRT001,LOT109,LENS0168,CAV13,8/1/25 16:20,13,118.89,118.62,119,119.8,41.64,41.4,Fail,OP110,MC05,Bubble,Rework needed
CURE00101,PRT003,LOT111,LENS0470,CAV07,8/1/25 16:25,14,120.48,118.14,122,120.17,39.58,42.16,Rework,OP107,MC02,Scratch,Rework needed
CURE00102,PRT009,LOT103,LENS0249,CAV17,8/1/25 16:30,13,116.23,117.83,119,118.27,40.69,52.72,Fail,OP106,MC01,Misalignment,Rework needed
CURE00103,PRT004,LOT115,LENS0298,CAV02,8/1/25 16:35,19,116.02,115.71,122,123.81,40.96,54.74,Success,OP102,MC01,None,Stable cycle
CURE00104,PRT009,LOT103,LENS0442,CAV04,8/1/25 16:40,18,116.86,118.8,119,119.65,39.01,52.2,Fail,OP109,MC05,Bubble,Rework needed
CURE00105,PRT007,LOT115,LENS0391,CAV13,8/1/25 16:45,17,118.84,119.92,122,121.26,43.37,40.43,Fail,OP108,MC02,Misalignment,Rework needed
CURE00106,PRT006,LOT106,LENS0231,CAV20,8/1/25 16:50,17,123.92,119.84,118,115.05,43.16,53.45,Fail,OP109,MC05,Scratch,Rework needed
CURE00107,PRT001,LOT119,LENS0107,CAV08,8/1/25 16:55,14,122.98,122.14,120,121.54,44.66,43.83,Fail,OP105,MC02,Bubble,Rework needed
CURE00108,PRT006,LOT100,LENS0454,CAV15,8/1/25 17:00,12,121.42,115.4,121,119.63,43.29,40.72,Success,OP102,MC03,None,Stable cycle
CURE00109,PRT003,LOT109,LENS0473,CAV02,8/1/25 17:05,19,117.57,122.01,119,116.25,44.76,40.73,Success,OP110,MC04,None,Stable cycle
CURE00110,PRT004,LOT107,LENS0451,CAV11,8/1/25 17:10,18,124.63,117.35,119,119.85,43.64,44.52,Rework,OP110,MC01,Misalignment,Rework needed
CURE00111,PRT008,LOT113,LENS0285,CAV05,8/1/25 17:15,20,117.96,117.71,120,120.19,42.66,51.74,Success,OP105,MC03,None,Stable cycle
CURE00112,PRT005,LOT104,LENS0388,CAV02,8/1/25 17:20,17,123.25,118.3,120,120.79,39.11,49.36,Rework,OP110,MC03,Misalignment,Rework needed
CURE00113,PRT010,LOT111,LENS0035,CAV20,8/1/25 17:25,12,121.98,124.39,119,117.86,40.29,52.38,Fail,OP110,MC05,Misalignment,Rework needed
CURE00114,PRT004,LOT109,LENS0399,CAV17,8/1/25 17:30,20,115.34,119.33,122,124.62,39.81,52.26,Success,OP102,MC02,None,Stable cycle
CURE00115,PRT008,LOT119,LENS0373,CAV01,8/1/25 17:35,13,124.96,124.28,119,121.11,40.68,53.05,Fail,OP102,MC04,Misalignment,Rework needed
CURE00116,PRT006,LOT110,LENS0171,CAV06,8/1/25 17:40,12,115.69,117.08,120,121.42,39.8,49.94,Success,OP104,MC04,None,Stable cycle
CURE00117,PRT004,LOT108,LENS0129,CAV17,8/1/25 17:45,20,122.53,120.47,118,119.1,40.19,43.48,Fail,OP101,MC03,Scratch,Rework needed
CURE00118,PRT010,LOT111,LENS0156,CAV11,8/1/25 17:50,12,123.78,117.96,122,121.52,40.44,40.8,Rework,OP103,MC04,Misalignment,Rework needed
CURE00119,PRT003,LOT107,LENS0323,CAV14,8/1/25 17:55,16,117.61,117.37,120,117.02,40.5,49.23,Fail,OP103,MC01,Bubble,Rework needed
CURE00120,PRT008,LOT117,LENS0237,CAV15,8/1/25 18:00,15,123.65,120.19,120,120.68,44.79,40.83,Rework,OP110,MC05,Scratch,Rework needed
CURE00121,PRT008,LOT116,LENS0187,CAV11,8/1/25 18:05,20,123.68,118.02,120,121.52,42.38,49.6,Rework,OP102,MC01,Bubble,Rework needed
CURE00122,PRT008,LOT113,LENS0105,CAV16,8/1/25 18:10,17,119.72,120.14,119,118.92,43.57,47.83,Success,OP106,MC03,None,Stable cycle
CURE00123,PRT003,LOT120,LENS0448,CAV02,8/1/25 18:15,13,121.3,117.18,122,122.4,43.73,50.73,Success,OP105,MC01,None,Stable cycle
CURE00124,PRT008,LOT116,LENS0102,CAV09,8/1/25 18:20,10,118.61,119.35,120,118.62,43.03,53.53,Success,OP104,MC01,None,Stable cycle
CURE00125,PRT001,LOT102,LENS0042,CAV01,8/1/25 18:25,13,116.76,122.06,119,119.34,44.75,47.63,Rework,OP103,MC04,Misalignment,Rework needed
CURE00126,PRT001,LOT104,LENS0449,CAV09,8/1/25 18:30,20,120.13,121.24,122,122.05,39.78,44,Rework,OP105,MC02,Misalignment,Rework needed
CURE00127,PRT003,LOT109,LENS0250,CAV14,8/1/25 18:35,13,123.43,123.82,122,121.54,38.11,49.3,Success,OP101,MC05,None,Stable cycle
CURE00128,PRT002,LOT110,LENS0483,CAV07,8/1/25 18:40,18,116.01,119.7,121,118.67,42.64,50.15,Rework,OP110,MC03,Scratch,Rework needed
CURE00129,PRT010,LOT120,LENS0285,CAV08,8/1/25 18:45,11,116.82,121.45,121,121.45,42.03,40.43,Rework,OP104,MC02,Scratch,Rework needed
CURE00130,PRT009,LOT119,LENS0397,CAV06,8/1/25 18:50,14,120.11,122.58,118,119.29,43.51,41.78,Fail,OP101,MC04,Misalignment,Rework needed
CURE00131,PRT007,LOT107,LENS0051,CAV06,8/1/25 18:55,12,119.79,121.36,122,120.32,41.97,47.33,Success,OP106,MC01,None,Stable cycle
CURE00132,PRT008,LOT118,LENS0115,CAV04,8/1/25 19:00,15,124.75,115.72,119,121.02,38.39,40.65,Rework,OP102,MC03,Bubble,Rework needed
CURE00133,PRT003,LOT105,LENS0114,CAV20,8/1/25 19:05,19,118.76,115.44,119,119.02,40.86,41.97,Fail,OP106,MC01,Bubble,Rework needed
CURE00134,PRT005,LOT102,LENS0474,CAV12,8/1/25 19:10,16,115.78,124.9,119,120.99,42.57,53.46,Rework,OP110,MC02,Scratch,Rework needed
CURE00135,PRT010,LOT114,LENS0345,CAV03,8/1/25 19:15,10,122.26,123.34,119,119.45,44.32,45.14,Fail,OP103,MC02,Misalignment,Rework needed
CURE00136,PRT002,LOT113,LENS0471,CAV03,8/1/25 19:20,20,121.46,123.12,121,121.83,43.28,40.04,Rework,OP101,MC02,Bubble,Rework needed
CURE00137,PRT001,LOT116,LENS0330,CAV10,8/1/25 19:25,16,115.79,118.87,120,119.58,38.41,40.12,Success,OP102,MC01,None,Stable cycle
CURE00138,PRT002,LOT116,LENS0345,CAV04,8/1/25 19:30,13,115.36,117.4,122,119.05,38.82,54.67,Rework,OP105,MC01,Bubble,Rework needed
CURE00139,PRT003,LOT114,LENS0283,CAV16,8/1/25 19:35,20,115.11,123.5,121,119.62,39.4,51.99,Fail,OP110,MC04,Misalignment,Rework needed
CURE00140,PRT004,LOT115,LENS0320,CAV11,8/1/25 19:40,20,119.32,118.89,120,120.67,43.14,43.68,Rework,OP102,MC04,Bubble,Rework needed
CURE00141,PRT005,LOT106,LENS0310,CAV14,8/1/25 19:45,14,116.25,123.1,122,122.28,38.37,44.2,Fail,OP102,MC05,Scratch,Rework needed
CURE00142,PRT001,LOT117,LENS0181,CAV12,8/1/25 19:50,17,119.6,116.82,121,118.16,38.73,45.38,Rework,OP103,MC05,Bubble,Rework needed
CURE00143,PRT002,LOT100,LENS0425,CAV13,8/1/25 19:55,20,124.09,115.72,118,120.08,41.38,50.69,Fail,OP104,MC03,Bubble,Rework needed
CURE00144,PRT003,LOT110,LENS0289,CAV15,8/1/25 20:00,13,116.25,124.88,121,121.91,40.51,49.71,Rework,OP103,MC01,Bubble,Rework needed
CURE00145,PRT004,LOT119,LENS0012,CAV06,8/1/25 20:05,10,122.71,117.7,118,119.53,39.82,43.94,Fail,OP103,MC05,Misalignment,Rework needed
CURE00146,PRT003,LOT112,LENS0145,CAV12,8/1/25 20:10,13,121.93,117.48,118,118.47,38.4,43.84,Fail,OP102,MC05,Bubble,Rework needed
CURE00147,PRT008,LOT119,LENS0272,CAV07,8/1/25 20:15,12,115.24,116.99,120,118.47,42.82,40.78,Fail,OP107,MC01,Scratch,Rework needed
CURE00148,PRT004,LOT110,LENS0218,CAV07,8/1/25 20:20,16,121.31,121.04,118,118.29,43.44,40.8,Rework,OP101,MC01,Scratch,Rework needed
CURE00149,PRT007,LOT104,LENS0214,CAV12,8/1/25 20:25,14,120.88,118.11,120,118.91,42.36,52.43,Success,OP109,MC05,None,Stable cycle
CURE00150,PRT004,LOT115,LENS0264,CAV04,8/1/25 20:30,13,117.09,124.34,120,122.89,38.95,48.01,Success,OP105,MC02,None,Stable cycle
CURE00151,PRT006,LOT101,LENS0091,CAV19,8/1/25 20:35,19,124.22,124.38,119,117.94,43.68,49.09,Fail,OP104,MC04,Misalignment,Rework needed
CURE00152,PRT009,LOT104,LENS0063,CAV11,8/1/25 20:40,20,116.66,115.48,120,121.15,43.08,50.28,Fail,OP104,MC04,Bubble,Rework needed
CURE00153,PRT003,LOT111,LENS0248,CAV17,8/1/25 20:45,15,120.89,116.73,119,121.52,43.69,40.38,Fail,OP104,MC02,Bubble,Rework needed
CURE00154,PRT007,LOT107,LENS0156,CAV09,8/1/25 20:50,20,118,124,118,119.84,38.23,48.11,Fail,OP109,MC04,Scratch,Rework needed
CURE00155,PRT006,LOT104,LENS0335,CAV13,8/1/25 20:55,20,118.76,118.03,120,117.77,42.96,45.56,Fail,OP107,MC03,Scratch,Rework needed
CURE00156,PRT010,LOT104,LENS0336,CAV19,8/1/25 21:00,15,122.24,122.83,118,116.27,42.71,46.12,Fail,OP107,MC01,Scratch,Rework needed
CURE00157,PRT005,LOT108,LENS0044,CAV17,8/1/25 21:05,16,122.49,117.42,118,117.61,38.29,41.61,Success,OP109,MC02,None,Stable cycle
CURE00158,PRT003,LOT115,LENS0194,CAV18,8/1/25 21:10,13,117.07,121.91,120,122.65,44.4,53.82,Fail,OP110,MC02,Scratch,Rework needed
CURE00159,PRT001,LOT100,LENS0204,CAV18,8/1/25 21:15,19,119.24,122.46,119,120.44,41.04,50.59,Fail,OP101,MC03,Bubble,Rework needed
CURE00160,PRT008,LOT112,LENS0274,CAV10,8/1/25 21:20,14,122.5,120.69,119,121.53,42.55,44.5,Rework,OP108,MC04,Bubble,Rework needed
CURE00161,PRT006,LOT109,LENS0419,CAV04,8/1/25 21:25,19,123.39,121.48,118,118.39,42.24,48,Rework,OP102,MC04,Bubble,Rework needed
CURE00162,PRT002,LOT109,LENS0154,CAV10,8/1/25 21:30,18,121.57,122.12,120,121.78,41.12,50.17,Rework,OP110,MC01,Misalignment,Rework needed
CURE00163,PRT008,LOT117,LENS0383,CAV11,8/1/25 21:35,10,118.02,123.46,119,121,38.86,49.71,Rework,OP103,MC05,Misalignment,Rework needed
CURE00164,PRT002,LOT103,LENS0069,CAV13,8/1/25 21:40,18,120.93,124.95,119,120.88,38.39,48.25,Success,OP104,MC03,None,Stable cycle
CURE00165,PRT007,LOT105,LENS0483,CAV03,8/1/25 21:45,19,123.48,120.7,118,120.73,43.09,41.9,Fail,OP109,MC01,Misalignment,Rework needed
