GasMix_ID,Protocol_ID,Lot_ID,DateTime,Gas_Type,FlowRate_sccm,Pressure_psi,Mix_Ratio_percent,Temperature_C,Valve_Status,Status,Operator_ID,Machine_ID,Remarks
GAS00030,PRT005,LOT108,8/1/25 10:30,N2,190.43,36.55,62.81,21.36,Open,Success,OP104,GMC01,Stable flow
GAS00031,PRT001,LOT106,8/1/25 10:35,CO2,218.05,32.74,65.27,29.28,Open,Success,OP108,GMC01,Stable flow
GAS00032,PRT003,LOT115,8/1/25 10:40,O2,282.76,35.34,44.97,20.45,Closed,Success,OP104,GMC05,Stable flow
GAS00033,PRT005,LOT107,8/1/25 10:45,Ar,97.27,38.43,48.82,24.68,Closed,Fail,OP101,GMC02,Check system
GAS00034,PRT005,LOT104,8/1/25 10:50,N2,176.8,38.32,21.52,23.45,Closed,Success,OP104,GMC01,Stable flow
GAS00035,PRT010,LOT111,8/1/25 10:55,CO2,155.08,37.94,12.17,24.61,Open,Fail,OP104,GMC04,Check system
GAS00036,PRT002,LOT100,8/1/25 11:00,CO2,238.77,32.14,45.58,21.81,Open,Success,OP109,GMC03,Stable flow
GAS00037,PRT007,LOT109,8/1/25 11:05,Ar,129.09,32.71,39.03,26.68,Closed,Fail,OP103,GMC03,Check system
GAS00038,PRT007,LOT109,8/1/25 11:10,O2,146.83,38.99,76.37,25.65,Open,Success,OP102,GMC05,Stable flow
GAS00039,PRT009,LOT105,8/1/25 11:15,CO2,267.24,31.62,15.65,21.41,Open,Success,OP105,GMC04,Stable flow
GAS00040,PRT010,LOT118,8/1/25 11:20,CO2,99.02,38.36,20.03,25.67,Open,Success,OP107,GMC02,Stable flow
GAS00041,PRT006,LOT118,8/1/25 11:25,Ar,296.96,33.38,8.94,20.34,Closed,Fail,OP101,GMC02,Check system
GAS00042,PRT004,LOT101,8/1/25 11:30,Ar,254.36,39.64,48.74,28.46,Open,Success,OP110,GMC01,Stable flow
GAS00043,PRT006,LOT120,8/1/25 11:35,O2,131.87,37.1,47.71,22.93,Closed,Success,OP102,GMC02,Stable flow
GAS00044,PRT006,LOT111,8/1/25 11:40,CO2,228.38,30.48,34.66,25.12,Closed,Success,OP101,GMC03,Stable flow
GAS00045,PRT010,LOT116,8/1/25 11:45,CO2,202.51,39.87,47.52,20.3,Open,Fail,OP101,GMC02,Check system
GAS00046,PRT010,LOT116,8/1/25 11:50,CO2,283.62,39.98,72.28,25.22,Closed,Fail,OP105,GMC03,Check system
GAS00047,PRT010,LOT113,8/1/25 11:55,N2,100.95,33.18,10.16,29.39,Open,Fail,OP109,GMC03,Check system
GAS00048,PRT001,LOT115,8/1/25 12:00,CO2,64.49,31.66,63.18,22.98,Closed,Success,OP104,GMC01,Stable flow
GAS00049,PRT004,LOT110,8/1/25 12:05,N2,151.78,37.34,34.39,22.06,Closed,Fail,OP107,GMC03,Check system
GAS00050,PRT007,LOT103,8/1/25 12:10,N2,111.11,37.95,9.01,22.73,Open,Success,OP108,GMC02,Stable flow
GAS00051,PRT007,LOT102,8/1/25 12:15,N2,64.25,33.44,77.1,26.73,Closed,Fail,OP103,GMC01,Check system
GAS00052,PRT008,LOT119,8/1/25 12:20,Ar,216.85,39.57,19.12,27.34,Closed,Success,OP106,GMC01,Stable flow
GAS00053,PRT004,LOT100,8/1/25 12:25,CO2,97.95,32.65,26.25,22.87,Closed,Fail,OP109,GMC05,Check system
GAS00054,PRT010,LOT112,8/1/25 12:30,Ar,298.14,31.71,15.34,26.03,Closed,Fail,OP104,GMC03,Check system
GAS00055,PRT008,LOT101,8/1/25 12:35,CO2,259.08,38.39,10.01,25.7,Closed,Success,OP110,GMC03,Stable flow
GAS00056,PRT002,LOT103,8/1/25 12:40,N2,96.32,34.62,13.62,25.91,Closed,Success,OP109,GMC02,Stable flow
GAS00057,PRT010,LOT113,8/1/25 12:45,O2,87.99,34.48,67.57,25.01,Open,Success,OP105,GMC04,Stable flow
GAS00058,PRT003,LOT110,8/1/25 12:50,N2,213.7,35.43,51.61,28.54,Open,Success,OP107,GMC01,Stable flow
GAS00059,PRT007,LOT114,8/1/25 12:55,Ar,58.9,36.52,21.26,20.23,Open,Success,OP103,GMC05,Stable flow
GAS00060,PRT001,LOT117,8/1/25 13:00,N2,280.31,32.68,11.43,22.97,Open,Fail,OP103,GMC02,Check system
GAS00061,PRT004,LOT109,8/1/25 13:05,Ar,137.21,37.68,43.64,28.25,Open,Success,OP102,GMC03,Stable flow
GAS00062,PRT004,LOT112,8/1/25 13:10,Ar,273.12,31.09,66.81,22.32,Closed,Fail,OP107,GMC05,Check system
GAS00063,PRT004,LOT112,8/1/25 13:15,O2,215.63,36.99,76.57,29.16,Closed,Fail,OP102,GMC03,Check system
GAS00064,PRT001,LOT110,8/1/25 13:20,O2,151.94,30.65,46.77,26.83,Open,Success,OP107,GMC05,Stable flow
GAS00065,PRT009,LOT104,8/1/25 13:25,Ar,67.33,38.2,25.5,29.55,Closed,Fail,OP104,GMC02,Check system
GAS00066,PRT008,LOT104,8/1/25 13:30,N2,113.42,37.01,57.97,24.42,Open,Fail,OP102,GMC02,Check system
GAS00067,PRT003,LOT120,8/1/25 13:35,CO2,191.83,38.96,78.8,28.07,Open,Success,OP108,GMC01,Stable flow
GAS00068,PRT005,LOT108,8/1/25 13:40,Ar,225.83,38.72,29.02,20.93,Closed,Fail,OP105,GMC01,Check system
GAS00069,PRT001,LOT101,8/1/25 13:45,O2,233.71,32.41,51.86,28.75,Open,Success,OP103,GMC01,Stable flow
GAS00070,PRT003,LOT118,8/1/25 13:50,Ar,174.06,30.67,17.54,29.48,Open,Success,OP104,GMC04,Stable flow
GAS00071,PRT005,LOT120,8/1/25 13:55,CO2,278.67,31.94,44.71,29.57,Open,Fail,OP108,GMC02,Check system
GAS00072,PRT005,LOT119,8/1/25 14:00,O2,280.83,38.33,77.49,26.87,Closed,Fail,OP108,GMC05,Check system
GAS00073,PRT001,LOT110,8/1/25 14:05,N2,266.93,34.26,41.62,22.96,Closed,Fail,OP107,GMC05,Check system
GAS00074,PRT007,LOT112,8/1/25 14:10,Ar,68.09,30.37,39.63,24.36,Closed,Success,OP104,GMC02,Stable flow
GAS00075,PRT009,LOT117,8/1/25 14:15,Ar,127.8,33.89,42.13,27.62,Closed,Fail,OP104,GMC04,Check system
GAS00076,PRT008,LOT100,8/1/25 14:20,Ar,100.76,35.41,62.6,23.3,Closed,Success,OP103,GMC05,Stable flow
GAS00077,PRT006,LOT116,8/1/25 14:25,Ar,136.97,38.81,72.16,21.22,Closed,Fail,OP102,GMC01,Check system
GAS00078,PRT005,LOT106,8/1/25 14:30,CO2,262.1,30.89,70.69,24.7,Closed,Fail,OP102,GMC01,Check system
GAS00079,PRT009,LOT117,8/1/25 14:35,Ar,268.96,37.06,43.13,23.45,Open,Success,OP105,GMC04,Stable flow
GAS00080,PRT005,LOT110,8/1/25 14:40,Ar,60.27,34.55,13.38,21.59,Closed,Fail,OP105,GMC03,Check system
GAS00081,PRT010,LOT119,8/1/25 14:45,CO2,100.5,36.07,66.71,20.32,Closed,Success,OP105,GMC03,Stable flow
GAS00082,PRT002,LOT109,8/1/25 14:50,Ar,74.84,37.66,14.64,24.42,Open,Success,OP110,GMC05,Stable flow
GAS00083,PRT008,LOT107,8/1/25 14:55,O2,240.22,36.19,50.06,29.56,Open,Fail,OP109,GMC04,Check system
GAS00084,PRT005,LOT106,8/1/25 15:00,N2,191.76,30.94,46.13,27.42,Open,Success,OP109,GMC05,Stable flow
GAS00085,PRT005,LOT101,8/1/25 15:05,CO2,249.74,30.27,60.99,26.82,Open,Fail,OP104,GMC05,Check system
GAS00086,PRT003,LOT103,8/1/25 15:10,CO2,198.99,37.7,44.91,27.66,Closed,Success,OP110,GMC05,Stable flow
GAS00087,PRT002,LOT117,8/1/25 15:15,Ar,202.41,31.9,46.22,21.41,Open,Fail,OP105,GMC04,Check system
GAS00088,PRT005,LOT104,8/1/25 15:20,N2,199.04,31.21,62.16,26.39,Closed,Success,OP104,GMC03,Stable flow
GAS00089,PRT004,LOT106,8/1/25 15:25,CO2,135.07,35.2,15.47,23.94,Closed,Success,OP109,GMC04,Stable flow
GAS00090,PRT006,LOT101,8/1/25 15:30,CO2,200.23,30.56,63.62,22.22,Closed,Fail,OP107,GMC02,Check system
GAS00091,PRT007,LOT104,8/1/25 15:35,Ar,202.02,32.28,22.38,23.16,Open,Fail,OP105,GMC03,Check system
GAS00092,PRT010,LOT111,8/1/25 15:40,Ar,198.41,31.33,79.56,28.66,Open,Success,OP106,GMC02,Stable flow
GAS00093,PRT002,LOT118,8/1/25 15:45,N2,142.49,31.86,72.94,27.77,Open,Fail,OP105,GMC03,Check system
GAS00094,PRT007,LOT116,8/1/25 15:50,Ar,184.43,33.83,50.04,27.53,Open,Success,OP106,GMC01,Stable flow
GAS00095,PRT010,LOT110,8/1/25 15:55,Ar,181.56,39.92,60.23,27.13,Open,Fail,OP102,GMC05,Check system
GAS00096,PRT001,LOT105,8/1/25 16:00,Ar,212.49,39.84,33.62,25.08,Open,Fail,OP101,GMC01,Check system
GAS00097,PRT007,LOT115,8/1/25 16:05,CO2,232.24,36.07,21.37,21.62,Open,Success,OP101,GMC03,Stable flow
GAS00098,PRT001,LOT109,8/1/25 16:10,N2,150.63,39.4,36.41,28.73,Open,Fail,OP104,GMC03,Check system
GAS00099,PRT010,LOT108,8/1/25 16:15,CO2,114.33,37.2,64.58,25.41,Open,Fail,OP110,GMC03,Check system
GAS00100,PRT001,LOT109,8/1/25 16:20,CO2,262.2,30.47,22.31,22.14,Open,Fail,OP110,GMC03,Check system
GAS00101,PRT003,LOT111,8/1/25 16:25,Ar,299.02,30.55,14.78,21.2,Open,Success,OP107,GMC02,Stable flow
GAS00102,PRT009,LOT103,8/1/25 16:30,CO2,189.26,35.88,32.23,23.7,Open,Success,OP106,GMC01,Stable flow
GAS00103,PRT004,LOT115,8/1/25 16:35,CO2,98.4,32.01,38.98,24.38,Open,Success,OP102,GMC05,Stable flow
GAS00104,PRT009,LOT103,8/1/25 16:40,O2,202.7,38.9,19.85,28.94,Open,Success,OP109,GMC02,Stable flow
GAS00105,PRT007,LOT115,8/1/25 16:45,CO2,236.47,30.54,16.36,26.42,Closed,Success,OP108,GMC04,Stable flow
GAS00106,PRT006,LOT106,8/1/25 16:50,Ar,68.9,36.46,32.33,22.69,Open,Fail,OP109,GMC01,Check system
GAS00107,PRT001,LOT119,8/1/25 16:55,CO2,223.72,36.22,10.78,27.17,Open,Fail,OP105,GMC04,Check system
GAS00108,PRT006,LOT100,8/1/25 17:00,O2,232.55,34.25,40.41,26.91,Open,Success,OP102,GMC03,Stable flow
GAS00109,PRT003,LOT109,8/1/25 17:05,O2,207.33,39.03,23.07,20.96,Open,Fail,OP110,GMC04,Check system
GAS00110,PRT004,LOT107,8/1/25 17:10,O2,259.76,30.13,58.07,22.49,Closed,Success,OP110,GMC04,Stable flow
GAS00111,PRT008,LOT113,8/1/25 17:15,Ar,215.93,39.44,45.86,22.01,Closed,Fail,OP105,GMC04,Check system
GAS00112,PRT005,LOT104,8/1/25 17:20,O2,228.46,36.66,74.41,28.53,Closed,Success,OP110,GMC01,Stable flow
GAS00113,PRT010,LOT111,8/1/25 17:25,O2,246.51,37.61,21.49,23.89,Open,Success,OP110,GMC01,Stable flow
GAS00114,PRT004,LOT109,8/1/25 17:30,N2,127.49,30.75,8.83,20.67,Closed,Success,OP102,GMC03,Stable flow
GAS00115,PRT008,LOT119,8/1/25 17:35,CO2,234.21,32.39,19.05,28.03,Open,Fail,OP102,GMC04,Check system
GAS00116,PRT006,LOT110,8/1/25 17:40,N2,74.74,36.93,11.25,25.21,Open,Fail,OP104,GMC01,Check system
GAS00117,PRT004,LOT108,8/1/25 17:45,O2,282,31.9,20.05,20.62,Closed,Fail,OP101,GMC01,Check system
GAS00118,PRT010,LOT111,8/1/25 17:50,Ar,54.56,33.27,38.19,24.6,Closed,Fail,OP103,GMC01,Check system
GAS00119,PRT003,LOT107,8/1/25 17:55,N2,165.61,33.54,28.58,23.04,Closed,Fail,OP103,GMC02,Check system
GAS00120,PRT008,LOT117,8/1/25 18:00,N2,145.7,35.92,73.9,27.81,Closed,Fail,OP110,GMC05,Check system
GAS00121,PRT008,LOT116,8/1/25 18:05,N2,170.71,34.93,63.34,21.77,Open,Fail,OP102,GMC05,Check system
GAS00122,PRT008,LOT113,8/1/25 18:10,O2,81.84,38.93,8.95,26.78,Open,Fail,OP106,GMC01,Check system
GAS00123,PRT003,LOT120,8/1/25 18:15,Ar,224.89,31.39,71.38,28.92,Open,Success,OP105,GMC03,Stable flow
GAS00124,PRT008,LOT116,8/1/25 18:20,CO2,134.91,32.36,24.38,20.41,Closed,Success,OP104,GMC03,Stable flow
GAS00125,PRT001,LOT102,8/1/25 18:25,CO2,128.74,39.75,14,27.12,Closed,Success,OP103,GMC01,Stable flow
GAS00126,PRT001,LOT104,8/1/25 18:30,Ar,82.5,31.42,12.95,28.77,Closed,Fail,OP105,GMC02,Check system
GAS00127,PRT003,LOT109,8/1/25 18:35,N2,97.99,37.84,6.12,28.11,Open,Success,OP101,GMC02,Stable flow
GAS00128,PRT002,LOT110,8/1/25 18:40,CO2,264.11,30.39,68.78,28.83,Closed,Success,OP110,GMC04,Stable flow
GAS00129,PRT010,LOT120,8/1/25 18:45,O2,207.58,39.64,13.25,26.56,Open,Fail,OP104,GMC04,Check system
GAS00130,PRT009,LOT119,8/1/25 18:50,N2,255.86,36.72,40.47,27.51,Open,Success,OP101,GMC01,Stable flow
GAS00131,PRT007,LOT107,8/1/25 18:55,Ar,93.68,38.59,39.1,20.34,Closed,Success,OP106,GMC05,Stable flow
GAS00132,PRT008,LOT118,8/1/25 19:00,O2,116.09,32.61,33.16,29.26,Open,Success,OP102,GMC04,Stable flow
GAS00133,PRT003,LOT105,8/1/25 19:05,CO2,297.51,34.08,14.37,29.33,Open,Fail,OP106,GMC03,Check system
GAS00134,PRT005,LOT102,8/1/25 19:10,N2,169.22,30.61,61.96,23.3,Open,Success,OP110,GMC04,Stable flow
GAS00135,PRT010,LOT114,8/1/25 19:15,CO2,205.34,35.6,28.5,21.33,Closed,Fail,OP103,GMC03,Check system
GAS00136,PRT002,LOT113,8/1/25 19:20,O2,148.78,34.65,64.01,24.46,Closed,Fail,OP101,GMC03,Check system
GAS00137,PRT001,LOT116,8/1/25 19:25,O2,293.6,38.44,52.57,27.03,Open,Fail,OP102,GMC01,Check system
GAS00138,PRT002,LOT116,8/1/25 19:30,CO2,180,33.97,54.19,22.73,Open,Fail,OP105,GMC02,Check system
GAS00139,PRT003,LOT114,8/1/25 19:35,N2,72.41,30.04,71.69,22.05,Open,Fail,OP110,GMC03,Check system
GAS00140,PRT004,LOT115,8/1/25 19:40,O2,299.33,30.17,43.46,28.12,Closed,Success,OP102,GMC02,Stable flow
GAS00141,PRT005,LOT106,8/1/25 19:45,Ar,104.27,30.52,10,22.89,Open,Success,OP102,GMC01,Stable flow
GAS00142,PRT001,LOT117,8/1/25 19:50,Ar,294.57,32.17,50.41,27.71,Closed,Success,OP103,GMC05,Stable flow
GAS00143,PRT002,LOT100,8/1/25 19:55,N2,113.33,39.41,53.06,23.51,Closed,Fail,OP104,GMC04,Check system
GAS00144,PRT003,LOT110,8/1/25 20:00,CO2,295.39,33.54,64.89,27.36,Closed,Success,OP103,GMC03,Stable flow
GAS00145,PRT004,LOT119,8/1/25 20:05,Ar,75.49,34.39,5.38,20.15,Closed,Success,OP103,GMC02,Stable flow
GAS00146,PRT003,LOT112,8/1/25 20:10,N2,215.68,32.02,35.46,24.51,Closed,Fail,OP102,GMC02,Check system
GAS00147,PRT008,LOT119,8/1/25 20:15,CO2,143.09,33.81,42.91,21.25,Open,Fail,OP107,GMC05,Check system
GAS00148,PRT004,LOT110,8/1/25 20:20,CO2,95.66,35.27,10.49,25.81,Closed,Fail,OP101,GMC04,Check system
GAS00149,PRT007,LOT104,8/1/25 20:25,CO2,187.05,39.77,64.35,25.47,Open,Fail,OP109,GMC01,Check system
GAS00150,PRT004,LOT115,8/1/25 20:30,Ar,103.11,38.2,31.66,29.08,Closed,Success,OP105,GMC04,Stable flow
GAS00151,PRT006,LOT101,8/1/25 20:35,N2,298.12,36.5,37.17,20.83,Open,Fail,OP104,GMC01,Check system
GAS00152,PRT009,LOT104,8/1/25 20:40,O2,115.46,33.04,33.97,25.43,Closed,Success,OP104,GMC02,Stable flow
GAS00153,PRT003,LOT111,8/1/25 20:45,CO2,219.97,38.34,50.29,29.89,Open,Success,OP104,GMC04,Stable flow
GAS00154,PRT007,LOT107,8/1/25 20:50,CO2,113.97,31.67,18.21,22.46,Open,Success,OP109,GMC02,Stable flow
GAS00155,PRT006,LOT104,8/1/25 20:55,CO2,72.04,36.41,28.48,25.82,Open,Success,OP107,GMC01,Stable flow
GAS00156,PRT010,LOT104,8/1/25 21:00,N2,233.75,34.33,36.39,24.15,Open,Fail,OP107,GMC03,Check system
GAS00157,PRT005,LOT108,8/1/25 21:05,CO2,198.04,33.37,76.86,26.71,Closed,Success,OP109,GMC01,Stable flow
GAS00158,PRT003,LOT115,8/1/25 21:10,CO2,82.02,39.56,75.09,21,Closed,Fail,OP110,GMC02,Check system
GAS00159,PRT001,LOT100,8/1/25 21:15,O2,54.92,32.75,57.72,29.1,Closed,Fail,OP101,GMC05,Check system
GAS00160,PRT008,LOT112,8/1/25 21:20,Ar,109.94,32.01,77.34,24.68,Open,Fail,OP108,GMC05,Check system
GAS00161,PRT006,LOT109,8/1/25 21:25,Ar,250.44,34.42,36.29,23.54,Closed,Fail,OP102,GMC04,Check system
GAS00162,PRT002,LOT109,8/1/25 21:30,O2,261.62,38.82,49.33,25.65,Open,Fail,OP110,GMC03,Check system
GAS00163,PRT008,LOT117,8/1/25 21:35,Ar,89.51,32.09,54.38,28.65,Closed,Fail,OP103,GMC05,Check system
GAS00164,PRT002,LOT103,8/1/25 21:40,Ar,120.66,36.83,78.66,22.97,Closed,Fail,OP104,GMC01,Check system
GAS00165,PRT007,LOT105,8/1/25 21:45,N2,250.84,30.05,8.38,23.33,Open,Success,OP109,GMC01,Stable flow
GAS00166,PRT004,LOT110,8/1/25 21:50,CO2,113.42,34.51,20.94,25.87,Closed,Success,OP110,GMC05,Stable flow
GAS00167,PRT009,LOT108,8/1/25 21:55,O2,157.35,36.31,79.11,26.55,Open,Fail,OP104,GMC05,Check system
GAS00168,PRT008,LOT102,8/1/25 22:00,N2,215.73,34.24,65.76,26.72,Open,Success,OP105,GMC03,Stable flow
GAS00169,PRT004,LOT116,8/1/25 22:05,CO2,288.64,36.38,69.31,24.77,Closed,Success,OP106,GMC03,Stable flow
GAS00170,PRT006,LOT119,8/1/25 22:10,CO2,213.53,36.77,64.9,22.94,Open,Fail,OP109,GMC02,Check system
GAS00171,PRT005,LOT102,8/1/25 22:15,O2,137.61,39.9,47.15,22.91,Closed,Success,OP108,GMC05,Stable flow
GAS00172,PRT004,LOT115,8/1/25 22:20,N2,117.72,37.6,40.48,27.98,Open,Fail,OP105,GMC03,Check system
GAS00173,PRT005,LOT113,8/1/25 22:25,N2,250.8,38.29,45.19,25.75,Open,Fail,OP105,GMC03,Check system
GAS00174,PRT006,LOT105,8/1/25 22:30,Ar,141.08,37.22,24.89,20.09,Open,Fail,OP106,GMC04,Check system
GAS00175,PRT001,LOT118,8/1/25 22:35,Ar,206.04,34.21,67.43,28.98,Closed,Success,OP104,GMC02,Stable flow
GAS00176,PRT009,LOT112,8/1/25 22:40,Ar,69.83,34.38,61.8,26.34,Closed,Success,OP109,GMC05,Stable flow
GAS00177,PRT009,LOT117,8/1/25 22:45,N2,202.45,33.19,60.92,20.63,Closed,Success,OP106,GMC03,Stable flow
GAS00178,PRT006,LOT103,8/1/25 22:50,O2,58.6,31.06,42.56,28.6,Closed,Fail,OP104,GMC03,Check system
GAS00179,PRT001,LOT120,8/1/25 22:55,CO2,109.34,31.72,75.68,20.99,Open,Fail,OP105,GMC02,Check system
GAS00180,PRT004,LOT118,8/1/25 23:00,N2,53.94,34.22,14.12,27.18,Closed,Success,OP110,GMC01,Stable flow
GAS00181,PRT010,LOT104,8/1/25 23:05,Ar,224.61,37.71,46.2,21.55,Closed,Fail,OP110,GMC01,Check system
GAS00182,PRT010,LOT110,8/1/25 23:10,Ar,70.45,37.39,47.96,24.54,Open,Fail,OP107,GMC05,Check system
GAS00183,PRT003,LOT107,8/1/25 23:15,N2,202.4,31.79,28.78,25.28,Open,Success,OP107,GMC01,Stable flow
GAS00184,PRT001,LOT116,8/1/25 23:20,CO2,292.06,30.13,27.73,22.52,Open,Success,OP106,GMC01,Stable flow
GAS00185,PRT005,LOT100,8/1/25 23:25,N2,87.07,36.93,16.2,24.13,Open,Success,OP103,GMC02,Stable flow
GAS00186,PRT008,LOT101,8/1/25 23:30,N2,87.33,30.9,15.75,22.17,Open,Fail,OP102,GMC02,Check system
GAS00187,PRT005,LOT109,8/1/25 23:35,O2,224.89,31.09,24.79,26.74,Open,Success,OP109,GMC01,Stable flow
GAS00188,PRT003,LOT113,8/1/25 23:40,Ar,176.35,39.74,18.38,29.15,Open,Fail,OP102,GMC04,Check system
GAS00189,PRT001,LOT112,8/1/25 23:45,Ar,240.11,33.74,71.59,29.41,Closed,Success,OP101,GMC01,Stable flow
GAS00190,PRT006,LOT119,8/1/25 23:50,Ar,199.26,35.23,25.21,23.16,Closed,Success,OP103,GMC05,Stable flow
GAS00191,PRT001,LOT107,8/1/25 23:55,CO2,123.5,36.42,45.83,26.58,Closed,Fail,OP104,GMC02,Check system
GAS00192,PRT008,LOT120,8/2/25 0:00,N2,216.28,36.79,21.04,22.72,Open,Success,OP107,GMC04,Stable flow
GAS00193,PRT009,LOT119,8/2/25 0:05,Ar,117.51,31.45,33.87,25.13,Closed,Success,OP108,GMC01,Stable flow
GAS00194,PRT002,LOT118,8/2/25 0:10,CO2,139.49,31.13,25.43,25.22,Open,Fail,OP105,GMC01,Check system
GAS00195,PRT005,LOT111,8/2/25 0:15,O2,180.27,38.51,19.39,28.42,Closed,Fail,OP104,GMC01,Check system
GAS00196,PRT005,LOT115,8/2/25 0:20,O2,141.97,35.58,30.33,27.73,Closed,Success,OP101,GMC01,Stable flow
GAS00197,PRT009,LOT111,8/2/25 0:25,Ar,276.49,30.8,39.64,28.91,Open,Fail,OP104,GMC04,Check system
GAS00198,PRT005,LOT111,8/2/25 0:30,O2,101.79,34.59,46.42,26.67,Open,Success,OP107,GMC05,Stable flow
GAS00199,PRT005,LOT111,8/2/25 0:35,N2,244.79,37.47,43.43,26.41,Open,Success,OP105,GMC04,Stable flow
GAS00200,PRT007,LOT103,8/2/25 0:40,Ar,93.53,34.37,33.21,21.71,Closed,Success,OP107,GMC04,Stable flow
GAS00201,PRT005,LOT118,8/2/25 0:45,Ar,124.5,34.06,22.97,29.66,Open,Fail,OP101,GMC03,Check system
GAS00202,PRT010,LOT116,8/2/25 0:50,CO2,64.03,32.48,72.38,23.98,Open,Success,OP106,GMC03,Stable flow
GAS00203,PRT003,LOT109,8/2/25 0:55,Ar,206.37,37.75,18.76,23.89,Closed,Success,OP104,GMC04,Stable flow
GAS00204,PRT006,LOT104,8/2/25 1:00,N2,184.85,35.62,33.21,20.01,Closed,Success,OP105,GMC05,Stable flow
GAS00205,PRT001,LOT100,8/2/25 1:05,Ar,265.76,37.35,28.13,23.77,Closed,Success,OP103,GMC02,Stable flow
GAS00206,PRT006,LOT109,8/2/25 1:10,N2,170.64,33.76,38.71,23.43,Open,Fail,OP106,GMC05,Check system
GAS00207,PRT010,LOT115,8/2/25 1:15,O2,198.37,36.69,13.84,22.28,Open,Success,OP107,GMC03,Stable flow
